dead_id,gallery_id,cView
176,8,0
590,9,0
10,10,1227
220,11,0
219,12,0
235,13,0
617,14,1125
618,15,1119
616,16,1187
642,17,2282
644,18,0
674,19,303
776,20,1979
901,21,1048
1046,22,0
1357,23,1229
1364,24,1130
1369,25,925
1375,26,849
1474,27,964
1505,28,0
1419,29,0
1509,30,0
1520,31,0
1571,32,3
1570,33,0
1586,34,0
1602,35,0
1626,36,1004
1698,37,942
1710,38,908
1808,39,0
0,40,1
2286,41,0
1608,42,1170
2421,43,892
2430,44,853
2775,45,0
2783,46,770
3053,47,0
3072,48,0
3109,49,1
3141,50,857
3218,51,951
3329,52,0
3441,53,821
3458,54,744
3489,55,726
3530,56,807
3560,57,219
3609,58,0
3557,59,0
4018,60,755
4019,61,794
4085,62,1
4086,63,713
4097,64,847
4103,65,758
4111,66,765
4119,67,740
4265,68,0
4533,69,0
4606,70,0
4807,71,770
4861,72,927
4866,73,54
4868,74,696
4915,75,0
4925,76,665
4937,77,702
5002,78,847
5065,79,786
5213,80,746
5254,81,755
5300,82,719
5202,83,733
5391,84,1103
5424,85,778
5445,86,859
5466,87,792
5483,88,0
5554,89,749
5613,90,727
5698,91,967
5705,92,0
5700,93,0
5702,94,0
5699,95,0
5717,96,903
5743,97,0
5761,98,866
5778,99,848
5905,100,720
6165,101,0
6161,102,0
6207,103,637
6269,104,854
6290,105,742
6298,106,772
6512,107,667
777,108,586
6553,109,625
6648,110,742
6655,111,0
6689,112,0
6703,113,0
6715,114,455
6574,115,432
6691,116,3
6776,117,397
6800,118,0
9999,119,0
6847,120,348
6877,121,344
6911,122,151
6920,123,393
6942,124,0
7084,125,118
7127,126,0
7128,127,0

